@@172812	##	fo
A	a	zz1
Turkish	turkish	jj
Army	army	nn1
searchlight	searchlight	nn1
,	,	y
poking	poke	vvg
its	its	appge
white	white	jj
eye	eye	nn1
into	into	ii
the	the	at
garden	garden	nn1
of	of	io
the	the	at
German	german	jj_nn1
Embassy	embassy	nn1
one	one	mc1
night	night	nnt1
last	last	md
week	week	nnt1
,	,	y
disclosed	disclose	vvn_vvd@
a	a	at1
daughter	daughter	nn1
of	of	io
German	german	jj_nn1
Ambassador	ambassador	nnb
Franz	franz	np1
von	von	np1
Papen	papen	np1
in	in	ii
the	the	at
arms	arm	nn2
of	of	io
a	a	at1
secretary	secretary	nn1
of	of	io
the	the	at
Italian	italian	jj_nn1
Embassy	embassy	nn1
.	.	y
Next	next	md
day	day	nnt1
Ambassador	ambassador	np1
von	von	np1
Papen	papen	np1
,	,	y
who	who	pnqs
had	have	vhd
been	be	vbn
watching	watch	vvg
the	the	at
searchlight	searchlight	nn1
practice	practice	nn1
for	for	if
professional	professional	jj
reasons	reason	nn2
,	,	y
packed	pack	vvd_vvn
his	his	appge
daughter	daughter	nn1
off	off	rp
to	to	ii
Berlin	berlin	np1
,	,	y
had	have	vhd
her	her	appge
lover	lover	nn1
sacked	sack	vvn
.	.	y
