@@254170	##	fo
In	in	ii
the	the	at
wings	wing	nn2
of	of	io
a	a	at1
theatre	theatre	nn1
at	at	ii
Potsdam	potsdam	np1
,	,	y
Germany	germany	np1
,	,	y
a	a	at1
flossy	flossy	jj_nn1
pianist	pianist	nn1
began	begin	vvd
to	to	to
play	play	vvi
.	.	y
What	what	ddq
he	he	pphs1
played	play	vvd
was	be	vbdz
transmitted	transmit	vvn
by	by	ii
telephone	telephone	nn1
to	to	ii
the	the	at
ears	ear	nn2
of	of	io
the	the	at
members	member	nn2
of	of	io
an	an	at1
orchestra	orchestra	nn1
in	in	ii
Berlin	berlin	np1
17	17	mc
miles	mile	nnu2
away	away	rl
.	.	y
They	they	pphs2
followed	follow	vvd
the	the	at
piano	piano	nn1
on	on	ii
their	their	appge
various	various	jj
instruments	instrument	nn2
;	;	y
what	what	ddq
they	they	pphs2
played	play	vvd
was	be	vbdz
transmitted	transmit	vvn
to	to	ii
Potsdam	potsdam	np1
by	by	ii
another	another	dd1
telephone	telephone	nn1
and	and	cc
then	then	rt
amplified	amplify	vvn_vvd
so	so	bcl21
as	as	bcl22
to	to	to
fill	fill	vvi
the	the	at
theatre	theatre	nn1
in	in	ii
the	the	at
wings	wing	nn2
of	of	io
which	which	ddq
the	the	at
flossy	flossy	jj_nn1
pianist	pianist	nn1
was	be	vbdz
softly	softly	rr
strumming	strum	vvg
.	.	y
On	on	ii
the	the	at
stage	stage	nn1
of	of	io
the	the	at
theatre	theatre	nn1
an	an	at1
opera	opera	nn1
company	company	nn1
sang	sing	vvd
to	to	ii
the	the	at
music	music	nn1
of	of	io
the	the	at
Berlin	berlin	np1
orchestra	orchestra	nn1
,	,	y
thus	thus	rr
successfully	successfully	rr
completing	complete	vvg
an	an	at1
experiment	experiment	nn1
which	which	ddq
would	would	vm
,	,	y
Berlin	berlin	np1
officials	official	nn2
suggested	suggest	vvd_vvn
,	,	y
make	make	vv0
it	it	pph1
possible	possible	jj
for	for	if
small	small	jj
opera	opera	nn1
houses	house	nn2_vvz@
in	in	ii
outlying	outlying	jj
districts	district	nn2
to	to	to
secure	secure	vvi
far	far	rg
better	better	jjr_rrr
orchestral	orchestral	jj
accompaniment	accompaniment	nn1
than	than	csn
has	have	vhz
heretofore	heretofore	rr
been	be	vbn
possible	possible	jj
.	.	y
The	the	at
audience	audience	nn1
at	at	ii
the	the	at
Potsdam	potsdam	np1
opera	opera	nn1
house	house	nn1
seemed	seem	vvd
well	well	rr
satisfied	satisfied	jj_vvn@_vvd@
.	.	y
