@@723083	##	fo
txt	txt	nnu
Removal	removal	nn1
of	of	io
2	2	mc
1/2	1/2	mf
million	million	m
cubic	cubic	jj
yards	yard	nn2
of	of	io
sand	sand	nn1
from	from	ii
the	the	at
Indiana	indiana	np1
dunes	dune	nn2
to	to	to
be	be	vbi
used	use	vvn
to	to	to
extend	extend	vvi
the	the	at
Northwestern	northwestern	jj
university	university	nn1
campus	campus	nn1
by	by	ii
70	70	mc
acres	acre	nnu2
will	will	vm
begin	begin	vvi
today	today	rt
,	,	y
James	james	np1
Chester	chester	np1
.	.	y
legal	legal	jj
advisor	advisor	nn1
for	for	if
the	the	at
Bethlehem	bethlehem	np1
Steel	steel	np1_nn1
corporation	corporation	nn1
,	,	y
said	say	vvd
yesterday	yesterday	rt
.	.	y
The	the	at
operation	operation	nn1
is	be	vbz
expected	expect	vvn_jj
to	to	to
take	take	vvi
all	all	db
summer	summer	nnt1
.	.	y
Mrs.	mrs.-	nnb
James	james	np1
Buell	buell	np1
,	,	y
president	president	nn1
of	of	io
the	the	at
Save	save	vv0
the	the	at
Dunes	dune	nn2
council	council	nn1
,	,	y
said	say	vvd
the	the	at
move	move	nn1
will	will	vm
spark	spark	vvi
renewed	renewed	jj
efforts	effort	nn2
to	to	to
halt	halt	vvi
the	the	at
project	project	nn1
.	.	y
The	the	at
proposed	propose	jj
sand	sand	nn1
transfer	transfer	nn1
has	have	vhz
been	be	vbn
the	the	at
subject	subject	nn1
of	of	io
controversy	controversy	nn1
for	for	if
more	more	dar
than	than	csn
eight	eight	mc
months	month	nnt2
.	.	y
The	the	at
Farmers	farmer	nn2
State	state	nn1
Bank	bank	nn1
of	of	io
Valparaiso	valparaiso	np1
,	,	y
an	an	at1
agent	agent	nn1
for	for	if
Bethlehem	bethlehem	np1
,	,	y
is	be	vbz
selling	sell	vvg
the	the	at
sand	sand	nn1
to	to	ii
Northwestern	northwestern	jj
for	for	if
7	7	mc
cents	cent	nnu2
a	a	at1
yard	yard	nn1
.	.	y
Chester	chester	np1
said	say	vvd
the	the	at
first	first	md
phase	phase	nn1
of	of	io
a	a	at1
program	program	nn1
to	to	to
build	build	vvi
a	a	at1
deepwater	deepwater	jjr_nn1
port	port	nn1
at	at	ii
the	the	at
Indiana	indiana	np1
dunes	dune	nn2
site	site	nn1_vv0@
is	be	vbz
near	near	jj@_ii
completion	completion	nn1
.	.	y
He	he	pphs1
said	say	vvd
a	a	at1
quarter-mile	quarter-mile	nnu1_jj
harbor	harbor	nn1
with	with	iw
a	a	at1
turning	turn	jj@_nn1
basin	basin	nn1
has	have	vhz
been	be	vbn
dug	dig	vvn@
.	.	y
