@@699176	##	fo
txt	txt	nnu
missing	miss	vvg
the	the	at
first	first	md
large	large	jj
area	area	nn1
of	of	io
asphalt	asphalt	nn1
roadway	roadway	nn1
was	be	vbdz
constructed	construct	vvn
,	,	y
in	in	ii
Paris	paris	np1
.	.	y
While	while	cs
showing	show	vvg
that	that	cst
the	the	at
ancients	ancient	nn2
had	have	vhd
their	their	appge
asphalt	asphalt	nn1
roads	road	nn2
,	,	y
Mr.	mr.-	nnb
Stanton	stanton	np1
declares	declare	vvz
that	that	cst
the	the	at
chemist	chemist	nn1
and	and	cc
the	the	at
concrete	concrete	jj_nn1
technologist	technologist	nn1
are	be	vbr
improving	improve	vvg
on	on	ii
them	them	ppho2
.	.	y
He	he	pphs1
sums	sum	vvz
up	up	rp_ii@
the	the	at
work	work	nn1
being	be	vbg
done	do	vdn
in	in	ii
the	the	at
research	research	nn1
and	and	cc
materials	material	nn2
department	department	nn1
of	of	io
the	the	at
State	state	nn1_np1@
:	:	y
"	"	"
New	new	jj
cements	cement	nn2
are	be	vbr
being	be	vbg
developed	develop	vvn
which	which	ddq
evolve	evolve	vv0
less	less	dar
heat	heat	nn1
in	in	ii
setting	set	vvg_nn1
and	and	cc
consequent	consequent	jj
lessened	lessen	jj@_vvd
volumetric	volumetric	jj
changes	change	nn2
without	without	iw
material	material	jj@_nn1
sacrifice	sacrifice	nn1_vv0
in	in	ii
early	early	jj
strengths	strength	nn2
.	.	y
Other	other	jj
cements	cement	nn2
develop	develop	vv0
a	a	at1
high	high	jj
early	early	jj
strength	strength	nn1
.	.	y
Formulas	formula	nn2
have	have	vh0
been	be	vbn
worked	work	vvn
out	out	rp
for	for	if
designed	design	vvn_jj%
concrete	concrete	jj_nn1
mixtures	mixture	nn2
which	which	ddq
will	will	vm
result	result	vvi
An	an	at1
the	the	at
densest	dens	jjt
concrete	concrete	jj_nn1
obtainable	obtainable	jj
with	with	iw
a	a	at1
given	give	jj@
amount	amount	nn1
of	of	io
cement	cement	nn1
,	,	y
and	and	cc
methods	method	nn2
of	of	io
manufacturing	manufacturing	nn1
and	and	cc
compacting	compact	vvg_jj@
concrete	concrete	jj_nn1
masses	mass	nn2
have	have	vh0
been	be	vbn
developed	develop	vvn
to	to	ii
the	the	at
extent	extent	nn1
where	where	cs_rrq
it	it	pph1
is	be	vbz
possible	possible	jj
to	to	to
manufacture	manufacture	vvi
concrete	concrete	nn1
'	'	ge
which	which	ddq
will	will	vm
develop	develop	vvi
strength	strength	nn1
several	several	da2
times	time	nnt2
the	the	at
average	average	jj_nn1
strengths	strength	nn2
of	of	io
a	a	at1
few	few	da2
years	year	nnt2
ago	ago	ra
.	.	y
"	"	"
It	it	pph1
is	be	vbz
doubtful	doubtful	jj
if	if	cs_csw@
Nabopolassar	nabopolassar	np1_nn1	
,	,	y
King	king	nn1
of	of	io
Babylon	babylon	np1_nn1
,	,	y
went	go	vvd
into	into	ii
the	the	at
matter	matter	nn1
that	that	cst
deeply	deeply	rr
.	.	y
