@@192270	##	fo
After	after	ii_cs
two	two	mc
months	month	nnt2
of	of	io
battling	battle	vvg
a	a	at1
locust	locust	nn1
plague	plague	nn1
in	in	ii
Iran	iran	np1
with	with	iw
a	a	at1
task	task	nn1
force	force	nn1
of	of	io
eight	eight	mc
airplanes	airplane	nn2
,	,	y
nine	nine	mc
pilots	pilot	nn2
,	,	y
a	a	at1
technical	technical	jj
adviser	adviser	nn1
and	and	cc
ten	ten	mc
tons	ton	nnu2
of	of	io
a	a	at1
new	new	jj
insecticide	insecticide	nn1
called	call	vvd@_vvn
"	"	"
Aldrin	aldrin	np1_nn1
,	,	y
"	"	"
the	the	at
U.S.	u.s.-	np1
Department	department	nn1
of	of	io
Agriculture	agriculture	nn1
reported	report	vvd_vvn
last	last	md
week	week	nnt1
that	that	cst
the	the	at
Point	point	nn1
Four	four	mc
funds	fund	nn2
had	have	vhd
been	be	vbn
well	well	rr
spent	spend	vvn_vvd
.	.	y
Among	among	ii
the	the	at
50,000	50,000	mc
infested	infest	jj_vvd
acres	acre	nnu2
that	that	cst
were	be	vbdr
saved	save	vvn
from	from	ii
destruction	destruction	nn1
:	:	y
part	part	nn1
of	of	io
Iran	iran	np1
's	's	ge
poppy	poppy	nn1_jj@
fields	field	nn2
,	,	y
a	a	at1
prime	prime	jj
source	source	nn1
of	of	io
heroin	heroin	nn1
.	.	y
