@@678079	##	fo
txt	txt	nnu
The	the	at
Sad	sad	jj
Case	case	nn1
of	of	io
Muir	muir	np1
.	.	y
"	"	"
Poor	poor	jj
Muir	muir	np1
.	.	y
"	"	"
Every	every	at1
one	one	pn1_mc1
seems	seem	vvz
to	to	to
feel	feel	vvi
sorry	sorry	jj
for	for	if
the	the	at
poor	poor	jj
teller	teller	nn1
who	who	pnqs
shot	shoot	vvd
himself	himself	ppx1
the	the	at
other	other	jj
day	day	nnt1
.	.	y
We	we	ppis2
ought	ought	vmk
to	to	to
be	be	vbi
sorry	sorry	jj
for	for	if
him	him	ppho1
.	.	y
Moralists	moralist	nn2_np1@
will	will	vm
reiterate	reiterate	vvi
the	the	at
well-worn	well-worn	jj_nn1
homily	homily	nn1
,	,	y
"	"	"
The	the	at
way	way	nn1
of	of	io
the	the	at
transgressor	transgressor	nn1
is	be	vbz
hard	hard	jj
,	,	y
"	"	"
and	and	cc
remind	remind	vv0
us	us	ppio2
that	that	cst
his	his	appge
sad	sad	jj
end	end	nn1
was	be	vbdz
but	but	ccb
the	the	at
outcome	outcome	nn1
of	of	io
his	his	appge
wrongdoing	wrongdoing	nn1
.	.	y
Perhaps	perhaps	rr
they	they	pphs2
are	be	vbr
right	right	jj
,	,	y
but	but	ccb
after	after	ii
all	all	db
,	,	y
does	do	vdz
n't	n't	xx
it	it	pph1
naturally	naturally	rr
occur	occur	vvi
to	to	ii
us	us	ppio2
that	that	cst
the	the	at
ones	one	nn2
to	to	to
blame	blame	vvi
for	for	if
this	this	dd1
pathetic	pathetic	jj
tragedy	tragedy	nn1
are	be	vbr
those	those	dd2
responsible	responsible	jj
for	for	if
the	the	at
fact	fact	nn1
that	that	cst
after	after	ii_cs
twenty	twenty	mc
years	year	nnt2
of	of	io
faithful	faithful	jj
service	service	nn1
a	a	at1
receiving	receive	jj@_nn1@
teller	teller	nn1
in	in	ii
a	a	at1
large	large	jj
bank	bank	nn1
should	should	vm
be	be	vbi
receiving	receive	vvg
the	the	at
munificent	munificent	jj
salary	salary	nn1
of	of	io
$1,500	$1,500	nnu
a	a	at1
year	year	nnt1
?	?	y
Let	let	vv0
bankers	banker	nn2
and	and	cc
bank	bank	nn1_vv0@
officers	officer	nn2
,	,	y
who	who	pnqs
must	must	vm
necessarily	necessarily	rr
depend	depend	vvi
so	so	rg
much	much	da1_rr
on	on	ii
the	the	at
fidelity	fidelity	nn1
and	and	cc
honesty	honesty	nn1
of	of	io
bank	bank	nn1
clerks	clerk	nn2
,	,	y
give	give	vv0
heed	heed	nn1_vv0
for	for	if
a	a	at1
moment	moment	nn1
to	to	ii
the	the	at
lesson	lesson	nn1
of	of	io
this	this	dd1
occurrence	occurrence	nn1
.	.	y
