@@220879	##	fo
Stories	story	nn2
of	of	io
migratory	migratory	jj
wild	wild	jj
fowl	fowl	nn
mistaking	mistake	vvg
gleaming	gleaming	jj
highways	highway	nn2
for	for	if
water	water	nn1
and	and	cc
landing	land	vvg_nn1
on	on	ii
them	them	ppho2
to	to	ii
their	their	appge
own	own	da
destruction	destruction	nn1
have	have	vh0
become	become	vvn@
fairly	fairly	rr
common	common	jj
.	.	y
In	in	ii
Carthage	carthage	np1
,	,	y
Mo	mo	np1
.	.	y
last	last	md
week	week	nnt1
a	a	at1
stranger	stranger	jjr_nn1
accident	accident	nn1
occurred	occur	vvd
.	.	y
A	a	at1
flock	flock	nn1
of	of	io
wild	wild	jj
geese	goose	nn2
mistook	mistake	vvd
the	the	at
sparkling	sparkle	jj
panes	pane	nn2
of	of	io
a	a	at1
greenhouse	greenhouse	nn1
for	for	if
a	a	at1
pond	pond	nn1
,	,	y
swooped	swoop	vvd
down	down	rp
,	,	y
dived	dive	vvd_vvn
in	in	rp@
.	.	y
Guy	guy	np1
Tadlock	tadlock	np1
,	,	y
owner	owner	nn1
of	of	io
the	the	at
greenhouse	greenhouse	nn1
,	,	y
found	find	vvd_vvn
50	50	mc
panes	pane	nn2
of	of	io
glass	glass	nn1
broken	break	vvn_jj
,	,	y
his	his	appge
nursery	nursery	nn1
full	full	jj
of	of	io
honking	honk	vvg_nn1@
,	,	y
flapping	flap	vvg
geese	goose	nn2
.	.	y
He	he	pphs1
slid	slide	vvd
back	back	rp
the	the	at
frames	frame	nn2
,	,	y
shooed	shoo	vvd
the	the	at
birds	bird	nn2
out	out	rp
.	.	y
