@@679759	##	fo
txt	txt	nnu
Considers	consider	vvz
a	a	at1
Second	second	md_nnt1
Marriage	marriage	nn1
.	.	y
Kindly	kindly	rr
give	give	vv0
this	this	dd1
your	your	appge
attention	attention	nn1
,	,	y
and	and	cc
ask	ask	vv0
through	through	ii_rp@
your	your	appge
paper	paper	nn1
the	the	at
following	following	jj
questions	question	nn2
,	,	y
and	and	cc
accept	accept	vv0
my	my	appge
sincere	sincere	jj
thanks	thanks	nn2
.	.	y
What	what	ddq
is	be	vbz
the	the	at
right	right	jj_nn1
attitude	attitude	nn1
for	for	if
a	a	at1
man	man	nn1
to	to	to
take	take	vvi
In	in	ii31
regard	regard	ii32
to	to	ii33
his	his	appge
second	second	md
marriage	marriage	nn1
?	?	y
I	i	ppis1
am	be	vbm
a	a	at1
widower	widower	nn1
with	with	iw
three	three	mc
sons	son	nn2
,	,	y
all	all	db_rr@
young	young	jj
.	.	y
My	my	appge
wife	wife	nn1
was	be	vbdz
dear	dear	jj_rr@_nn1
to	to	ii
me	me	ppio1
.	.	y
Since	since	cs
her	her	appge
death	death	nn1
I	i	ppis1
have	have	vh0
learned	learn	vvn
to	to	to
love	love	vvi
another	another	dd1
.	.	y
Why	why	rrq
do	do	vd0
I	i	ppis1
hesitate	hesitate	vvi
to	to	to
ask	ask	vvi
her	her	ppho1
to	to	to
marry	marry	vvi
me	me	ppio1
?	?	y
I	i	ppis1
want	want	vv0
to	to	to
marry	marry	vvi
her	her	ppho1
very	very	rg
much	much	da1_rr
,	,	y
yet	yet	rr
I	i	ppis1
feel	feel	vv0
sometimes	sometimes	rt
that	that	cst
it	it	pph1
Is	be	vbz
not	not	xx
right	right	jj
.	.	y
How	how	rrq
is	be	vbz
it	it	pph1
after	after	ii_cs
death	death	nn1
?	?	y
Can	can	vm_vv0%
we	we	ppis2
love	love	vvi
two	two	mc
or	or	cc
three	three	mc
wives	wife	nn2
as	as	csa
we	we	ppis2
love	love	vv0
children	child	nn2
without	without	iw
a	a	at1
difference	difference	nn1
?	?	y
This	this	dd1
means	mean	vvz
much	much	rr_da1
to	to	ii
me	me	ppio1
,	,	y
for	for	if
the	the	at
lady	lady	nn1
I	i	ppis1
now	now	rt
love	love	vv0_nn1
is	be	vbz
away	away	rl
,	,	y
and	and	cc
unless	unless	cs
I	i	ppis1
write	write	vv0
her	her	ppho1
or	or	cc
go	go	vv0
to	to	to
see	see	vvi
her	her	ppho1
I	i	ppis1
must	must	vm
be	be	vbi
alone	alone	jj
.	.	y
I	i	ppis1
care	care	vv0
for	for	if
no	no	pn121
one	one	pn122
else	else	rr
.	.	y
Please	please	rr
help	help	vv0
me	me	ppio1
to	to	to
decide	decide	vvi
.	.	y
LONELY	lonely	jj
.	.	y
